codigo,nombre,Tipo_persona,nacionalidad,sexo biológico,fecha n,fecha m,profesiones-wikidata,Profesiones-otrasfuentes,Descripciones-url-datos,numero_revista,nombre_articulo,pagina,Naturaleza del artículo,ESTILO PRINCIPAL / INTENCIONALIDAD,GÉNERO,ESPECIE / SUBGÉNERO,Ilustraciones/Fotografías (Sí/No),Número de imágenes,Tipo_firma,grado,codigo_revista,dc.title,dc.contributor.editor,dc.date.issued,dc.publisher,dc.description.abstract
A237,Anónimo,Seudónimo,-,-,,,,,,R56,Nuestra información gráfica,15,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica social,Sí,4,Anónimo,2,R56,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 54)","Palma, Clemente, 1872-1946, dir.",31/08/1907,Lima: [s. n.],"Presenta el plano del Canal de Panamá y ofrece detalles de cómo fue realizada la obra, las excavaciones hechas por las empresas francesas desde 1880 a 1903 y las realizará el gobierno de EE.UU, para dar cima a la obra. Recoge cuentos, poemas y relatos de varios autores, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R57,Huéspedes distinguidos,3,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Prensa informativa,Nota periodística,Sí,1,Anónimo,2,R57,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 55)","Palma, Clemente, 1872-1946, dir.",07/09/1907,Lima: [s. n.],"Aborda en un artículo las construcciones monumentales de la colonia que se elevaron en América durante los primeros siglos de la dominación hispana. Menciona que la ciudad mejor dotada de monumentos fue Cajamarca. Recoge cuentos, poemas y relatos de varios autores, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R57,Nuestra información gráfica,14,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica social,Sí,5,Anónimo,2,R57,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 55)","Palma, Clemente, 1872-1946, dir.",07/09/1907,Lima: [s. n.],"Aborda en un artículo las construcciones monumentales de la colonia que se elevaron en América durante los primeros siglos de la dominación hispana. Menciona que la ciudad mejor dotada de monumentos fue Cajamarca. Recoge cuentos, poemas y relatos de varios autores, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R58,El automóvil de los mares,8,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Prensa informativa,Nota periodística,Sí,5,Anónimo,2,R58,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 56)","Palma, Clemente, 1872-1946, dir.",14/09/1907,Lima: [s. n.],"Recoge uno de los tantos relatos inéditos de Clemente Palma como “El credo de un borracho”, en el que presenta un personaje alucinado, presenta el poema “Caridad” del poeta nicaragüense Rubén Darío máximo representante del modernismo literario en lengua española. Este poema es una exhortación del poeta a ejercer la caridad, es un llamado de los ricos para que se solidaricen con los pobres, con los oprimidos, con los ancianos y con los niños. Es un poema que invita a compartir como una manifestación de amor entre los seres humanos, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R58,Nuestra información gráfica,14-15,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica social,Sí,3,Anónimo,2,R58,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 56)","Palma, Clemente, 1872-1946, dir.",14/09/1907,Lima: [s. n.],"Recoge uno de los tantos relatos inéditos de Clemente Palma como “El credo de un borracho”, en el que presenta un personaje alucinado, presenta el poema “Caridad” del poeta nicaragüense Rubén Darío máximo representante del modernismo literario en lengua española. Este poema es una exhortación del poeta a ejercer la caridad, es un llamado de los ricos para que se solidaricen con los pobres, con los oprimidos, con los ancianos y con los niños. Es un poema que invita a compartir como una manifestación de amor entre los seres humanos, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R58,Ecos,15,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica social,No,0,Anónimo,2,R58,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 56)","Palma, Clemente, 1872-1946, dir.",14/09/1907,Lima: [s. n.],"Recoge uno de los tantos relatos inéditos de Clemente Palma como “El credo de un borracho”, en el que presenta un personaje alucinado, presenta el poema “Caridad” del poeta nicaragüense Rubén Darío máximo representante del modernismo literario en lengua española. Este poema es una exhortación del poeta a ejercer la caridad, es un llamado de los ricos para que se solidaricen con los pobres, con los oprimidos, con los ancianos y con los niños. Es un poema que invita a compartir como una manifestación de amor entre los seres humanos, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R59,El viaje fantástico de un dique,2,Republicación,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica periodística,Sí,3,Anónimo,1,R59,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 57)","Palma, Clemente, 1872-1946, dir.",21/09/1907,Lima: [s. n.],"Recoge cuentos, poemas y relatos de varios autores, presenta fotografías de eventos sociales y personajes de la política y la alta sociedad peruana, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R59,De provincias,10,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Prensa informativa,Nota periodística,Sí,3,Anónimo,2,R59,"Prisma: revista ilustrada, de artes, letras, etc. (Año III, n.° 57)","Palma, Clemente, 1872-1946, dir.",21/09/1907,Lima: [s. n.],"Recoge cuentos, poemas y relatos de varios autores, presenta fotografías de eventos sociales y personajes de la política y la alta sociedad peruana, publica la continuación de la novela Mi tío Barbassou del autor Mario Uchard."
A237,Anónimo,Seudónimo,-,-,,,,,,R6,A través de un prisma: crónicas limeñas,28-29,Original,Periodístico (Discurso centrado en la actualidad y el registro de la realidad),Crónica,Crónica social,Sí,3,Anónimo,2,R6,"Prisma: revista ilustrada, de artes, letras, etc. (Año I, n.° 5)","Hernández, Julio S, 1853-1906, dir.",16/11/1905,Lima: [s. n.],"Este número de Prisma dedica varias páginas al intelectual Ricardo Palma: presenta una tradición inédita, una remembranza sobre su gestión en la Biblioteca Nacional del Perú y una fotografía que retrata a Palma en su despacho de la Biblioteca Nacional. Recoge poemas y escritos de diferentes autores en torno a la figura de la muerte. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
A237,Anónimo,Seudónimo,-,-,,,,,,R6,La canción en Francia,30-31,No Determinado,"Ensayístico y de Divulgación (Discurso centrado en la reflexión, el análisis y la divulgación del saber)",Ensayo,Ensayo,Sí,4,Anónimo,1,R6,"Prisma: revista ilustrada, de artes, letras, etc. (Año I, n.° 5)","Hernández, Julio S, 1853-1906, dir.",16/11/1905,Lima: [s. n.],"Este número de Prisma dedica varias páginas al intelectual Ricardo Palma: presenta una tradición inédita, una remembranza sobre su gestión en la Biblioteca Nacional del Perú y una fotografía que retrata a Palma en su despacho de la Biblioteca Nacional. Recoge poemas y escritos de diferentes autores en torno a la figura de la muerte. Se reproduce parte de la tesis de José de la Riva Agüero sobre historia de la literatura peruana."
